index,Series,Open,High,Low,Close,Change,Pchange,Value,TrdDate
0,AAV,1.79,1.85,1.79,1.82,0.02,1.11,72201.87,2020-11-16
1,ACE,3.12,3.18,3.08,3.1,-0.02,-0.64,206532.26,2020-11-16
2,ADVANC,176.0,177.0,174.5,174.5,0.0,0.0,1490237.34,2020-11-16
3,AEONTS,141.0,143.5,139.0,141.5,1.5,1.07,111534.37,2020-11-16
4,AMATA,13.5,14.8,13.4,14.8,1.6,12.12,696022.86,2020-11-16
5,AOT,66.25,66.5,65.25,65.75,0.25,0.38,1437957.63,2020-11-16
6,AP,6.8,6.8,6.65,6.75,0.05,0.75,109615.66,2020-11-16
7,AWC,4.14,4.2,4.04,4.06,-0.04,-0.98,388599.52,2020-11-16
8,BANPU,7.4,7.5,7.35,7.4,0.05,0.68,588997.73,2020-11-16
9,BBL,118.0,119.5,117.0,117.0,0.5,0.43,1050158.55,2020-11-16
10,BCH,15.0,15.0,14.6,14.6,-0.1,-0.68,127764.75,2020-11-16
11,BCP,17.6,17.8,17.4,17.5,0.1,0.57,79522.75,2020-11-16
12,BCPG,13.0,13.1,12.8,12.9,0.1,0.78,163439.13,2020-11-16
13,BDMS,21.7,22.0,21.5,21.7,0.3,1.4,846464.82,2020-11-16
14,BEC,4.76,4.84,4.72,4.76,0.04,0.85,40907.1,2020-11-16
15,BEM,9.25,9.4,9.15,9.25,0.1,1.09,540839.58,2020-11-16
16,BGRIM,49.0,49.25,47.75,47.75,-0.75,-1.55,590548.4,2020-11-16
17,BH,108.5,109.0,106.0,106.5,0.0,0.0,264160.86,2020-11-16
18,BJC,35.25,35.75,34.25,34.5,0.0,0.0,193785.56,2020-11-16
19,BPP,14.6,14.8,14.3,14.5,0.0,0.0,83732.98,2020-11-16
20,BTS,10.3,10.7,10.2,10.5,0.3,2.94,783942.42,2020-11-16
21,CBG,119.0,121.0,118.5,119.5,1.5,1.27,421159.76,2020-11-16
22,CENTEL,23.7,24.6,23.5,24.1,0.4,1.69,318754.13,2020-11-16
23,CHG,2.58,2.6,2.52,2.52,-0.06,-2.33,50608.42,2020-11-16
24,CK,17.9,18.0,17.7,17.7,0.1,0.57,76746.48,2020-11-16
25,CKP,5.0,5.05,4.94,4.96,0.02,0.4,116562.97,2020-11-16
26,COM7,41.0,41.25,39.75,39.75,-1.0,-2.45,393226.51,2020-11-16
27,CPALL,63.25,63.5,62.25,62.5,0.25,0.4,1141413.06,2020-11-16
28,CPF,28.0,28.25,27.75,27.75,0.25,0.91,1094144.22,2020-11-16
29,CPN,52.0,52.5,51.0,52.0,0.5,0.97,476734.97,2020-11-16
30,CRC,33.0,33.5,32.75,33.0,0.5,1.54,592389.14,2020-11-16
31,DOHOME,13.8,14.0,13.6,13.6,-0.1,-0.73,99108.74,2020-11-16
32,DTAC,34.0,35.25,34.0,34.5,1.0,2.99,389978.41,2020-11-16
33,EA,45.5,45.5,44.0,44.75,-0.25,-0.56,294053.54,2020-11-16
34,EGCO,195.5,196.0,190.0,190.0,-3.0,-1.55,478651.07,2020-11-16
35,EPG,5.85,5.95,5.65,5.8,0.05,0.87,86264.36,2020-11-16
36,ESSO,7.05,7.2,7.0,7.0,0.0,0.0,218161.1,2020-11-16
37,GFPT,12.4,12.6,12.2,12.3,0.1,0.82,89744.28,2020-11-16
38,GLOBAL,16.7,16.7,16.2,16.3,-0.2,-1.21,122158.14,2020-11-16
39,GPSC,69.0,69.25,67.0,67.0,-1.75,-2.55,1604312.68,2020-11-16
40,GULF,36.0,36.5,34.75,34.75,-1.0,-2.8,2016666.08,2020-11-16
41,GUNKUL,2.32,2.36,2.3,2.36,0.04,1.72,107646.55,2020-11-16
42,HANA,36.75,37.0,35.75,36.5,-0.75,-2.01,549920.91,2020-11-16
43,HMPRO,15.4,15.4,14.9,15.0,0.0,0.0,293701.21,2020-11-16
44,INTUCH,54.5,55.25,54.0,54.0,-0.5,-0.92,693191.79,2020-11-16
45,IRPC,2.6,2.66,2.6,2.62,0.06,2.34,542966.85,2020-11-16
46,IVL,28.0,28.75,27.75,28.25,0.75,2.73,827437.22,2020-11-16
47,JAS,2.86,2.92,2.84,2.9,0.02,0.69,145186.32,2020-11-16
48,JMT,34.25,34.25,33.0,33.25,-0.75,-2.21,144205.05,2020-11-16
49,KBANK,96.0,96.5,94.0,94.75,0.5,0.53,3200755.62,2020-11-16
50,KCE,37.75,38.0,36.75,37.25,-0.75,-1.97,322786.76,2020-11-16
51,KKP,44.0,44.25,43.25,43.75,0.25,0.57,329611.32,2020-11-16
52,KTB,10.4,10.4,10.1,10.1,0.0,0.0,472743.51,2020-11-16
53,KTC,43.75,44.25,42.5,43.0,-0.25,-0.58,261954.84,2020-11-16
54,LH,7.5,7.6,7.45,7.5,0.1,1.35,255533.62,2020-11-16
55,MAJOR,15.8,16.7,15.7,16.3,0.6,3.82,103357.35,2020-11-16
56,MEGA,33.75,34.5,33.75,34.5,0.5,1.47,44529.39,2020-11-16
57,MINT,23.5,24.7,23.3,24.2,1.0,4.31,3622963.18,2020-11-16
58,MTC,57.5,58.5,56.25,56.5,-0.5,-0.88,472992.91,2020-11-16
59,ORI,7.2,7.2,7.05,7.15,0.05,0.7,80170.0,2020-11-16
60,OSP,37.75,38.5,37.5,37.5,0.25,0.67,364870.55,2020-11-16
61,PLANB,6.1,6.4,6.1,6.4,0.35,5.79,198036.96,2020-11-16
62,PRM,8.0,8.1,7.85,7.9,-0.05,-0.63,172266.76,2020-11-16
63,PSH,11.4,11.5,11.1,11.2,-0.1,-0.88,17586.13,2020-11-16
64,PTG,18.7,19.1,18.6,18.9,0.3,1.61,551793.81,2020-11-16
65,PTT,38.0,38.25,37.5,37.5,0.0,0.0,1834721.96,2020-11-16
66,PTTEP,91.25,92.0,90.75,91.5,1.25,1.39,850405.91,2020-11-16
67,PTTGC,51.25,51.5,50.0,50.25,-0.5,-0.99,1014191.75,2020-11-16
68,QH,2.26,2.28,2.22,2.22,-0.04,-1.77,74439.57,2020-11-16
69,RATCH,54.25,54.25,52.75,52.75,-0.75,-1.4,191693.04,2020-11-16
70,RBF,9.8,9.95,9.7,9.9,0.35,3.66,204637.36,2020-11-16
71,RS,18.5,18.6,18.1,18.2,-0.1,-0.55,53646.55,2020-11-16
72,SAWAD,54.5,55.5,53.5,53.75,0.25,0.47,1216904.41,2020-11-16
