index,Series,Open,High,Low,Close,Change,Pchange,Value,TrdDate,ValueTemp
0,AAV,2.12,2.16,2.02,2.04,-0.08,-3.77,101583.1,2020-11-24,
1,ACE,3.32,3.44,3.3,3.4,0.08,2.41,355121.39,2020-11-24,
2,ADVANC,182.0,182.5,178.0,178.0,-1.5,-0.84,4688648.12,2020-11-24,
3,AEONTS,146.5,147.5,143.0,144.5,-1.5,-1.03,166525.05,2020-11-24,
4,AMATA,15.9,15.9,15.5,15.5,-0.5,-3.12,211881.59,2020-11-24,
5,AOT,69.0,69.25,67.0,67.25,-1.0,-1.47,2287016.48,2020-11-24,
6,AP,6.9,7.15,6.9,7.05,0.15,2.17,175250.92,2020-11-24,
7,AWC,4.5,4.58,4.32,4.32,-0.16,-3.57,397784.24,2020-11-24,
8,BANPU,8.35,8.35,7.95,8.0,-0.3,-3.61,945684.48,2020-11-24,
9,BBL,124.0,125.0,121.0,122.5,-1.0,-0.81,1426771.01,2020-11-24,
10,BCH,15.1,15.2,14.6,14.7,-0.3,-2.0,124722.24,2020-11-24,
11,BCP,19.4,19.4,18.8,19.0,-0.2,-1.04,84031.99,2020-11-24,
12,BCPG,14.4,14.4,13.8,13.9,-0.5,-3.47,198113.73,2020-11-24,
13,BDMS,23.2,23.3,22.2,22.5,-0.5,-2.17,1591738.35,2020-11-24,
14,BEC,5.9,6.05,5.75,5.95,0.05,0.85,94323.02,2020-11-24,
15,BEM,9.5,9.5,9.3,9.35,-0.1,-1.06,402484.54,2020-11-24,
16,BGRIM,50.5,50.5,48.5,48.5,-1.5,-3.0,776214.4,2020-11-24,
17,BH,117.0,119.0,113.5,115.0,-8.5,-6.88,1151806.49,2020-11-24,
18,BJC,37.5,37.75,36.25,36.75,-0.25,-0.68,1992177.78,2020-11-24,
19,BPP,16.1,16.3,15.7,15.7,-0.4,-2.48,98572.02,2020-11-24,
20,BTS,10.7,10.8,10.6,10.7,0.0,0.0,458619.76,2020-11-24,
21,CBG,122.0,122.5,118.0,118.5,-2.5,-2.07,1011049.18,2020-11-24,
22,CENTEL,25.0,25.25,24.3,24.4,-0.5,-2.01,134422.68,2020-11-24,
23,CHG,2.7,2.7,2.6,2.6,-0.1,-3.7,75307.01,2020-11-24,
24,CK,18.6,18.8,18.2,18.3,-0.2,-1.08,223636.07,2020-11-24,
25,CKP,5.1,5.15,4.98,5.0,-0.05,-0.99,207347.75,2020-11-24,
26,COM7,40.0,40.0,38.5,38.5,-1.5,-3.75,324914.02,2020-11-24,
27,CPALL,63.5,64.0,62.5,63.0,-0.25,-0.4,1589814.45,2020-11-24,
28,CPF,30.25,30.5,29.0,29.0,-1.0,-3.33,2484214.47,2020-11-24,
29,CPN,55.0,55.25,52.25,53.75,-1.25,-2.27,1111978.89,2020-11-24,
30,CRC,35.0,35.0,33.25,33.5,-1.0,-2.9,442218.81,2020-11-24,
31,DOHOME,13.6,13.7,13.4,13.4,-0.1,-0.74,99771.99,2020-11-24,
32,DTAC,37.5,37.75,36.5,37.0,0.25,0.68,482435.55,2020-11-24,
33,EA,45.75,46.25,44.0,44.0,-1.5,-3.3,528970.97,2020-11-24,
34,EGCO,207.0,209.0,199.5,200.0,-4.0,-1.96,1020877.49,2020-11-24,
35,EPG,6.05,6.05,5.8,5.8,-0.25,-4.13,69539.36,2020-11-24,
36,ESSO,7.5,7.6,7.15,7.15,-0.2,-2.72,500347.51,2020-11-24,
37,GFPT,12.9,13.0,12.6,12.7,0.0,0.0,46241.78,2020-11-24,
38,GLOBAL,17.8,17.9,17.2,17.3,-0.4,-2.26,211961.0,2020-11-24,
39,GPSC,71.0,71.5,69.0,69.25,-1.5,-2.12,1392010.21,2020-11-24,
40,GULF,37.25,37.5,35.75,35.75,-1.25,-3.38,1522805.76,2020-11-24,
41,GUNKUL,2.48,2.5,2.4,2.42,-0.06,-2.42,199411.48,2020-11-24,
42,HANA,38.5,39.25,37.75,38.0,-0.5,-1.3,506168.97,2020-11-24,
43,HMPRO,15.6,15.7,15.4,15.6,0.1,0.65,399672.8,2020-11-24,
44,INTUCH,57.25,57.5,55.5,56.25,-0.75,-1.32,634283.68,2020-11-24,
45,IRPC,2.94,2.96,2.8,2.8,-0.1,-3.45,732165.02,2020-11-24,
46,IVL <XD>,30.5,30.75,28.75,28.75,-1.5,-4.96,1542031.03,2020-11-24,
47,JAS,3.38,3.5,3.3,3.32,-0.06,-1.78,963949.63,2020-11-24,
48,JMT,33.25,33.75,33.0,33.0,-0.25,-0.75,190420.06,2020-11-24,
49,KBANK,110.0,110.0,105.0,105.5,-2.5,-2.31,4304385.84,2020-11-24,
50,KCE,38.0,39.0,37.0,37.25,-0.75,-1.97,606228.3,2020-11-24,
51,KKP,46.5,47.5,45.75,45.75,0.0,0.0,727277.83,2020-11-24,
52,KTB,11.7,11.8,11.0,11.1,-0.1,-0.89,1456708.36,2020-11-24,
53,KTC,44.5,45.0,43.5,43.5,-1.0,-2.25,315147.64,2020-11-24,
54,LH,8.0,8.1,7.8,7.85,-0.1,-1.26,467380.46,2020-11-24,
55,MAJOR,18.0,18.2,17.5,18.2,0.2,1.11,165254.08,2020-11-24,
56,MEGA,35.5,37.25,35.5,36.75,1.5,4.26,198795.61,2020-11-24,
57,MINT,24.5,24.8,24.2,24.2,-0.1,-0.41,1916110.75,2020-11-24,
58,MTC,54.75,55.25,53.25,53.5,-1.25,-2.28,527118.49,2020-11-24,
59,ORI,7.8,7.9,7.65,7.8,0.1,1.3,136834.63,2020-11-24,
60,OSP,38.0,38.25,37.25,37.5,-0.25,-0.66,279477.6,2020-11-24,
61,PLANB <XD>,6.45,6.45,6.05,6.1,-0.3,-4.69,118486.58,2020-11-24,
62,PRM,8.1,8.15,7.9,7.9,-0.15,-1.86,231721.43,2020-11-24,
63,PSH,12.2,12.4,11.8,12.1,-0.1,-0.82,48678.02,2020-11-24,
64,PTG,18.9,19.0,18.2,18.2,-0.7,-3.7,556810.22,2020-11-24,
65,PTT,40.75,41.25,40.0,40.0,-0.5,-1.23,6601844.92,2020-11-24,
66,PTTEP,99.5,100.5,96.75,96.75,-1.75,-1.78,3531268.42,2020-11-24,
67,PTTGC,57.75,58.5,55.75,56.25,-0.5,-0.88,2012683.99,2020-11-24,
68,QH,2.32,2.32,2.28,2.3,0.0,0.0,66629.76,2020-11-24,
69,RATCH,56.5,56.5,54.75,55.0,-1.0,-1.79,395728.47,2020-11-24,
70,RBF,9.7,9.75,9.4,9.45,-0.2,-2.07,199795.0,2020-11-24,
71,RS,17.5,17.6,17.1,17.1,-0.4,-2.29,114857.86,2020-11-24,
72,SAWAD,55.5,55.5,54.5,54.5,-0.75,-1.36,927956.33,2020-11-24,
