index,Series,Vol,OI,TrdDate,Avg5,Avg10
12,ADVANC,1203,3851,2020-11-13,,
18,AEONTS,50,309,2020-11-13,,
24,AMATA,3664,2675,2020-11-13,,
30,AOT,1164,8668,2020-11-13,,
36,AP,0,1144,2020-11-13,,
42,BA,1,1270,2020-11-13,,
48,BANPU,1076,40447,2020-11-13,,
54,BAY,2,137,2020-11-13,,
60,BBL,306,1788,2020-11-13,,
66,BCH,4,3622,2020-11-13,,
72,BCP,9,904,2020-11-13,,
78,BCPG,514,5390,2020-11-13,,
84,BDMS,1441,7192,2020-11-13,,
90,BEAUTY,1,18413,2020-11-13,,
96,BEC,5,37649,2020-11-13,,
102,BEM,3552,18387,2020-11-13,,
108,BGRIM,427,3069,2020-11-13,,
114,BH,170,536,2020-11-13,,
120,BJC,227,1113,2020-11-13,,
126,BLA,103,437,2020-11-13,,
132,BLAND,80,352372,2020-11-13,,
138,BPP,500,4049,2020-11-13,,
144,BTS,4121,49549,2020-11-13,,
150,CBG,538,15279,2020-11-13,,
156,CENTEL,163,2579,2020-11-13,,
162,CHG,1517,5222,2020-11-13,,
168,CK,1385,2704,2020-11-13,,
174,CKP,2351,3954,2020-11-13,,
180,COM7,547,4846,2020-11-13,,
186,CPALL,1875,10257,2020-11-13,,
192,CPF,3156,19834,2020-11-13,,
198,CPN,1149,1179,2020-11-13,,
204,DELTA,79,1033,2020-11-13,,
210,DTAC,649,2824,2020-11-13,,
216,EA,1404,6136,2020-11-13,,
222,EASTW,0,400,2020-11-13,,
228,EGCO,199,949,2020-11-13,,
234,EPG,2563,4113,2020-11-13,,
240,ERW,1311,10099,2020-11-13,,
246,ESSO,514,4532,2020-11-13,,
252,GFPT,200,3485,2020-11-13,,
258,GLOBAL,765,5802,2020-11-13,,
264,GPSC,1530,4016,2020-11-13,,
270,GULF,850,16440,2020-11-13,,
276,GUNKUL,2045,31952,2020-11-13,,
282,HANA,3,1175,2020-11-13,,
288,HMPRO,738,1965,2020-11-13,,
294,ICHI,1729,12556,2020-11-13,,
300,INTUCH,140,3621,2020-11-13,,
306,IRPC,5811,41039,2020-11-13,,
312,ITD,11,5663,2020-11-13,,
318,IVL,1255,5613,2020-11-13,,
324,JAS,2097,46031,2020-11-13,,
330,JMT,4,2102,2020-11-13,,
336,KBANK,3154,5739,2020-11-13,,
342,KCE,400,1739,2020-11-13,,
348,KKP,563,2708,2020-11-13,,
354,KTB,3283,21698,2020-11-13,,
360,KTC,2014,42467,2020-11-13,,
366,LH,408,5700,2020-11-13,,
372,LPN,63,14801,2020-11-13,,
378,M,42,128,2020-11-13,,
384,MAJOR,100,3070,2020-11-13,,
390,MBK,3,1213,2020-11-13,,
396,MEGA,12,78,2020-11-13,,
402,MINT,3683,22858,2020-11-13,,
408,MTC,491,2109,2020-11-13,,
414,ORI,1000,6958,2020-11-13,,
420,OSP,2086,3267,2020-11-13,,
426,PLANB,1000,6606,2020-11-13,,
432,PRM,3202,23161,2020-11-13,,
438,PSH,50,4551,2020-11-13,,
444,PSL,1220,7925,2020-11-13,,
450,PTG,508,9115,2020-11-13,,
456,PTT,2394,41991,2020-11-13,,
462,PTTEP,309,735,2020-11-13,,
468,PTTGC,1567,3917,2020-11-13,,
474,QH,1001,17570,2020-11-13,,
480,RATCH,46,887,2020-11-13,,
483,ROBINS,316,621,2020-11-13,,
489,RS,1607,63959,2020-11-13,,
495,S,0,12002,2020-11-13,,
501,SAMART,2,8252,2020-11-13,,
507,SAWAD,846,4220,2020-11-13,,
513,SCB,756,7039,2020-11-13,,
519,SCC,211,1157,2020-11-13,,
525,SGP,0,1000,2020-11-13,,
531,SIRI,763,40276,2020-11-13,,
537,SPALI,368,1043,2020-11-13,,
543,SPCG,922,7287,2020-11-13,,
549,SPRC,1009,13293,2020-11-13,,
555,STA,1733,8562,2020-11-13,,
561,STEC,744,2298,2020-11-13,,
567,STPI,23,3111,2020-11-13,,
573,SUPER,50165,193841,2020-11-13,,
579,TASCO,603,5846,2020-11-13,,
585,TCAP,35,1852,2020-11-13,,
591,THAI,0,604,2020-11-13,,
597,THANI,2000,10000,2020-11-13,,
603,THCOM,513,8572,2020-11-13,,
609,THG,0,0,2020-11-13,,
615,TISCO,608,1373,2020-11-13,,
621,TKN,504,49820,2020-11-13,,
627,TMB,7458,49357,2020-11-13,,
633,TOA,100,1502,2020-11-13,,
639,TOP,266,1993,2020-11-13,,
645,TPIPL,6,3032,2020-11-13,,
651,TPIPP,500,3541,2020-11-13,,
657,TQM,31,474,2020-11-13,,
663,TRUE,4550,46937,2020-11-13,,
669,TTA,1076,1092,2020-11-13,,
675,TTCL,0,8762,2020-11-13,,
681,TTW,201,2119,2020-11-13,,
687,TU,1124,6164,2020-11-13,,
