index,Series,Vol,OI,TrdDate,VolTemp,OITemp
6,AAV,77,14558,2021-07-16,,
12,ADVANC,231,7965,2021-07-16,,
18,AEONTS,78,611,2021-07-16,,
24,AMATA,1904,11134,2021-07-16,,
30,AOT,135,2962,2021-07-16,,
36,AP,9003,19165,2021-07-16,,
42,AWC,0,11167,2021-07-16,,
48,BA,508,4361,2021-07-16,,
54,BAM,310,8081,2021-07-16,,
60,BANPU,5190,40345,2021-07-16,,
66,BAY,0,1458,2021-07-16,,
72,BBL,25,9592,2021-07-16,,
78,BCH,5601,10551,2021-07-16,,
84,BCP,202,3863,2021-07-16,,
90,BCPG,1813,8471,2021-07-16,,
96,BDMS,1008,9042,2021-07-16,,
102,BEAUTY,520,68182,2021-07-16,,
108,BEC,522,25981,2021-07-16,,
114,BEM,613,35885,2021-07-16,,
120,BGRIM,1937,12521,2021-07-16,,
126,BH,185,1080,2021-07-16,,
132,BJC,308,5479,2021-07-16,,
138,BLA,0,1668,2021-07-16,,
144,BLAND,1502,260094,2021-07-16,,
150,BPP,1803,5953,2021-07-16,,
156,BTS,50084,39318,2021-07-16,,
162,CBG,427,16308,2021-07-16,,
168,CENTEL,211,2056,2021-07-16,,
174,CHG,6205,38896,2021-07-16,,
180,CK,725,12864,2021-07-16,,
186,CKP,2267,12291,2021-07-16,,
192,COM7,326,6083,2021-07-16,,
198,CPALL,352,5227,2021-07-16,,
204,CPF,1050,37620,2021-07-16,,
210,CPN,1088,2041,2021-07-16,,
216,CRC,230,1181,2021-07-16,,
222,DELTA,306,487,2021-07-16,,
228,DTAC,118,6559,2021-07-16,,
234,EA,609,4770,2021-07-16,,
240,EASTW,500,11401,2021-07-16,,
246,EGCO,194,2310,2021-07-16,,
252,EPG,1021,14774,2021-07-16,,
258,ERW,500,6033,2021-07-16,,
264,ESSO,657,7090,2021-07-16,,
270,GFPT,510,11915,2021-07-16,,
276,GLOBAL,201,7013,2021-07-16,,
282,GPSC,9122,6079,2021-07-16,,
288,GULF,108,4256,2021-07-16,,
294,GUNKUL,92289,167206,2021-07-16,,
300,HANA,613,2107,2021-07-16,,
306,HMPRO,511,6793,2021-07-16,,
312,ICHI,519,16075,2021-07-16,,
318,INTUCH,33,308,2021-07-16,,
324,IRPC,3621,88262,2021-07-16,,
330,ITD,248,34287,2021-07-16,,
336,IVL,612,7524,2021-07-16,,
342,JAS,25,57855,2021-07-16,,
348,JMT,422,2845,2021-07-16,,
354,KBANK,1395,12508,2021-07-16,,
360,KCE,122,4355,2021-07-16,,
366,KEX,101,1028,2021-07-16,,
372,KKP,81,1905,2021-07-16,,
378,KTB,329,23090,2021-07-16,,
384,KTC,642,48042,2021-07-16,,
390,LH,2005,7642,2021-07-16,,
396,LPN,503,9249,2021-07-16,,
402,M,42,2605,2021-07-16,,
408,MAJOR,0,7565,2021-07-16,,
414,MBK,0,6178,2021-07-16,,
420,MEGA,0,369,2021-07-16,,
426,MINT,406,6013,2021-07-16,,
432,MTC,1675,3123,2021-07-16,,
438,OR,362,6908,2021-07-16,,
444,ORI,1636,22088,2021-07-16,,
450,OSP,0,3827,2021-07-16,,
456,PLANB,3,18057,2021-07-16,,
462,PRM,1,32125,2021-07-16,,
468,PSH,21,1552,2021-07-16,,
474,PSL,1335,13182,2021-07-16,,
480,PTG,3543,13898,2021-07-16,,
486,PTT,720,12957,2021-07-16,,
492,PTTEP,271,1403,2021-07-16,,
498,PTTGC,1455,13655,2021-07-16,,
504,QH,1000,22967,2021-07-16,,
510,RATCH,20,3794,2021-07-16,,
516,RS,69,87784,2021-07-16,,
522,S,500,37210,2021-07-16,,
528,SAMART,502,9744,2021-07-16,,
534,SAWAD,356,7706,2021-07-16,,
540,SCB,70,2189,2021-07-16,,
546,SCC,0,3415,2021-07-16,,
552,SCGP,704,9451,2021-07-16,,
558,SGP,6,2561,2021-07-16,,
564,SIRI,7649,146380,2021-07-16,,
570,SPALI,2301,495,2021-07-16,,
576,SPCG,0,8340,2021-07-16,,
582,SPRC,1001,7588,2021-07-16,,
588,STA,2354,13282,2021-07-16,,
594,STEC,403,16302,2021-07-16,,
600,STGT,1256,6694,2021-07-16,,
606,STPI,0,17201,2021-07-16,,
612,SUPER,2402,283599,2021-07-16,,
618,TASCO,501,8870,2021-07-16,,
624,TCAP,0,1582,2021-07-16,,
630,THAI,0,18,2021-07-16,,
636,THANI,0,4552,2021-07-16,,
642,THCOM,5,14219,2021-07-16,,
648,THG,727,36,2021-07-16,,
654,TISCO,85,882,2021-07-16,,
660,TKN,1,10022,2021-07-16,,
666,TOA,1,2165,2021-07-16,,
672,TOP,375,5132,2021-07-16,,
678,TPIPL,2011,28903,2021-07-16,,
684,TPIPP,0,6660,2021-07-16,,
690,TQM,22,825,2021-07-16,,
696,TRUE,1034,41026,2021-07-16,,
702,TTA,699,26713,2021-07-16,,
708,TTB,3051,245713,2021-07-16,,
714,TTCL,5,3531,2021-07-16,,
720,TTW,0,4604,2021-07-16,,
726,TU,1627,5564,2021-07-16,,
732,TVO,0,756,2021-07-16,,
