Series,pVol,pOI,pChgP,sumN,V3,V2,V1,Fnet4,Fnet3,Fnet2,Fnet1,VF3,VF2,VF1,o3,o2,o1,PriceR,Pchange
PTTGC,177.1,5,-0.87,1707.7,14.7,10.5,29.0,406.1,251.6,84.2,0.0,1529,1793,1349,5324,4069,4276,-0.87,-2.97
AOT,70.8,3,-2.29,700.3,15.2,18.8,32.1,-41.1,56.0,-114.8,0.0,717,1346,2306,12749,12476,12972,-2.29,-3.4
SCC,159.6,0,0.0,646.6,13.1,9.2,23.8,427.2,149.1,34.6,0.0,216,126,185,1197,1218,1217,0.0,-0.8
CPN,222.7,18,-4.25,472.9,3.6,4.6,14.9,95.8,5.6,-17.9,0.0,329,465,798,1379,1420,1676,-4.25,-6.45
IRPC,693.0,14,-1.45,437.1,4.5,4.7,37.0,18.3,133.5,-43.7,0.0,431,5406,15370,32017,31606,36128,-1.45,-3.55
MINT,60.9,1,-1.78,353.0,21.0,12.5,20.1,81.8,119.7,-293.2,0.0,5116,4271,7940,28085,26921,27373,-1.78,-2.75
TISCO,239.6,6,-1.26,309.3,4.5,2.2,7.4,50.3,118.3,25.1,0.0,61,142,71,870,1008,1074,-1.26,-2.18
VGI,227.1,0,-1.28,294.6,5.0,1.7,5.7,3.6,43.7,25.5,0.0,13086,3032,4020,39312,39823,39810,-1.28,-1.91
BTS,286.1,3,-0.97,291.5,3.4,4.2,16.2,66.6,4.3,77.2,0.0,2126,2406,3004,47321,49317,51197,-0.97,-1.92
SAWAD,28.1,0,-1.27,287.7,13.2,7.9,10.1,265.2,-55.2,-78.1,0.0,878,1238,871,5326,5125,5110,-1.27,-2.1
OSP,41.7,17,-0.68,195.7,4.5,3.0,4.3,-63.4,-7.1,53.2,0.0,640,794,1051,4331,4822,5660,-0.68,-1.35
ADVANC,92.3,0,-1.96,172.3,24.4,18.9,36.4,-182.3,-36.5,219.0,0.0,1349,1231,1091,6185,6681,6642,-1.96,-2.23
BCH,36.5,4,-2.1,150.4,2.8,3.4,4.7,18.2,27.8,40.4,0.0,495,921,6145,6267,6788,7091,-2.1,-2.1
GULF,7.2,6,-2.1,120.6,10.0,18.2,19.5,44.6,23.5,164.3,0.0,1270,5304,2290,19381,24198,25845,-2.1,-3.45
TRUE,1.8,9,-0.61,86.5,1.9,3.6,3.6,-44.1,-3.8,7.5,0.0,1153,1878,3861,37259,36972,40415,-0.61,-1.21
CENTEL,56.7,9,-2.02,82.9,1.7,0.8,1.3,17.3,3.8,6.9,0.0,1104,316,607,2254,2162,2365,-2.02,-2.8
BPP,50.4,1,-2.42,71.1,1.0,1.7,2.6,-3.3,6.5,19.0,0.0,311,22,558,3189,3167,3223,-2.42,-4.17
LH,26.2,4,-1.88,59.3,2.8,6.1,7.7,6.9,-45.2,-133.3,0.0,951,1334,12614,6510,6422,6701,-1.88,-3.09
JAS,11.6,0,0.0,39.7,2.2,2.1,2.3,-16.5,2.7,-3.9,0.0,1097,1513,1248,28437,29944,29731,0.0,0.0
QH,5.6,6,0.0,37.7,0.6,1.4,1.5,10.5,-2.6,-1.0,0.0,1339,5444,3100,17943,16863,17963,0.0,0.0
GUNKUL,85.7,31,-0.79,-4.7,0.4,0.8,1.5,-7.0,1.9,3.4,0.0,539,6149,20271,30295,33901,44427,-0.79,0.81
SPALI,4.3,66,-2.19,-9.5,0.4,0.8,0.9,-4.3,-0.6,-2.5,0.0,0,210,700,742,752,1252,-2.19,-4.28
TU,35.9,2,-1.31,-12.6,6.8,3.8,5.2,29.8,19.5,-45.5,0.0,3065,449,147,5913,6056,6185,-1.31,-1.31
BCP,70.7,2,-1.01,-15.6,0.8,0.7,1.2,32.6,-28.7,-3.9,0.0,358,2,110,2196,2198,2245,-1.01,-1.01
BEM,279.5,16,-1.08,-79.8,2.4,1.6,6.2,-66.2,-18.8,-20.0,0.0,21,1053,2629,11902,12930,15030,-1.08,-1.61
EA,1.1,3,-2.72,-108.6,5.6,5.2,5.3,3.3,-89.7,-58.5,0.0,1029,1482,824,6385,6835,7049,-2.72,-2.72
TOP,38.5,1,-2.56,-178.8,8.8,8.8,12.2,-53.7,-39.2,-153.2,0.0,349,575,294,2423,2716,2751,-2.56,-4.52
PTT,93.0,2,-3.03,-188.7,35.7,22.7,43.9,-415.2,-257.3,-62.8,0.0,2045,1104,2168,43323,42979,44127,-3.03,-4.19
TMB,421.9,31,-5.41,-260.9,6.6,6.3,33.1,-66.6,-18.6,-149.9,0.0,11822,28237,43498,87215,88972,117128,-5.41,-7.08
BJC,83.6,14,-0.66,-295.4,6.4,2.2,4.0,-140.4,-14.0,-52.6,0.0,1507,1184,768,2291,2818,3214,-0.66,-0.66
KTB,281.3,8,-3.6,-515.2,5.7,4.0,15.4,-102.3,-46.0,-104.9,0.0,1791,1253,3559,14931,15883,17227,-3.6,-4.46
CPF,86.0,3,-2.54,-561.4,10.3,10.3,19.1,-264.6,-9.9,14.2,0.0,4030,2913,3151,35753,35822,37002,-2.54,-1.71
EGCO,86.9,4,-0.46,-631.3,5.1,14.8,27.8,-176.2,-150.1,-136.7,0.0,351,1331,1515,1551,2006,2101,-0.46,-0.92
